feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,clip1,clip2,gaind,gainf,cdel,cbyp,x0,y0,mod_ampl,ngain,nbfbk,ncgain,rate_gain,noise_attack,fbk,tfbk,resonator_attack,attack_time,decay_time,sustain_level,release_time,initial_level
0.01,0.01,0.5542402307918789,0.01,-398.90593840259004,149.7482032132063,45.636064209331444,-26.779990100559175,-36.32748484682694,-11.636773826373194,-1.6797263238877425,-17.130400295318815,-30.48948132643868,-20.620223450779513,-1.4396821226731131,-0.1878564132213233,-19.85875852482705,-0.04672001808415785,0.043577070608890024,0.013968863998857172,-0.016913476218277674,-0.03674539082152214,-0.04015218360733836,-0.031391377085202274,-0.017679845011338634,-0.005459672746168117,0.0025379271895444714,0.007384391664697406,0.012634748168655563,0.02013328601254902,656.7738267527099,676.6403301078332,0.12595059619536442,0.17957726243211247,0.4205278279274225,0.8346552265336339,0.7575720163318557,0.4492727197004842,1.6935173326482111,0.9080904396263056,0.9728075947119658,0.21309672878079777,0.9501757504655353,0.9829424341057975,0.6642841618970826,0.7427930950238814,0.061342166448275996,0.1779454067534637,0.31074580700741017,0.19559162097471083,0.3192015806471274,0.267582122813075,0.3861455436955343,1.1442390693480966,0.9217435674274724
0.01,0.01,0.5542358031466323,0.01,-396.03440768695145,147.9783122790149,45.14017592222576,-27.11630807927524,-36.764134426004794,-11.64583945588243,-1.0378450730442885,-16.365822292100013,-30.27473413891275,-21.03237342140177,-1.9828611651635726,-0.4348178577595563,-19.851439202100096,-0.12783888890423922,-0.04875677018125506,-0.026622162464380133,0.001849273072481245,0.028739523852423975,0.044334380946617874,0.04096742362734661,0.020874397263323793,-0.0021580784062042646,-0.01366818778973113,-0.0140395804518724,-0.01681393320923169,-0.029704845128277008,697.9432223951173,737.6081187397324,-0.15740403474865447,0.2773817186718379,0.5672967993039625,0.7066642883140825,0.8114846638290799,0.22072508368292776,2.1322120477825415,0.391062358198331,0.9914634131863458,0.9055872343314808,0.7802040633539428,0.4457583989805062,0.12685987721780556,0.770894588322633,0.4358126249862402,0.13938658896410358,0.7307608161026555,0.2297398457594954,0.10353345982220921,0.10692148709850188,0.496726891201766,0.01868007156684269,0.5312987922228218
0.01,0.01,0.5542408391228612,0.01,-397.8945584438583,149.41371405922945,45.541920164068884,-27.118504160493124,-36.67433833227331,-11.505714822711377,-1.094887157864012,-16.622977610823536,-30.462133249620376,-20.941907527515315,-1.6992009236960248,-0.20704952121031728,-19.81908250101387,-0.04985374814893301,0.045870673121784486,0.025264932912822873,-0.0038243029849110823,-0.028747846140127778,-0.03876032605490019,-0.032448825215253115,-0.01773754866351613,-0.0037101269905114834,0.005240890081044931,0.010370279520312444,0.014248554888256531,0.018525967159956445,665.6121346888156,693.2661135905869,-0.16304764607241343,0.864483707302633,0.24755069599115462,0.43685145358850264,0.3685674058510986,1.3023110348398348,5.370807598553034,0.27947427791584145,0.5785323620021509,0.40275612968061647,0.8999752689705582,0.4278828375677659,0.2987913404796406,0.6243739064125835,0.11492621297392927,0.6435231647917142,0.858736443065897,0.11910293679707552,0.48234542718431267,0.4599121459916958,0.7079619499094992,1.9763356254196318,0.670058487458586
0.01,0.01,0.5542664041513575,0.01,-398.04669412578596,149.52275481589294,45.56097912477026,-27.161951759598487,-36.710290650217566,-11.48918120828944,-1.0459012794317788,-16.592880131078093,-30.472322499242978,-20.968699367242387,-1.7138436299463182,-0.2081821154105726,-19.82268634697855,-0.0797538253891451,-0.002463011685016721,-0.01578681216712084,-0.014731417436250506,0.002014760669341963,0.018026581295662193,0.019536566107162607,0.008813467761124552,-0.0016540680414060226,-0.005071471479410626,-0.005137280820228406,-0.00842563353805294,-0.014218794085916598,663.8527287720552,690.3312693557582,-0.16281848686678188,0.34177950948540947,0.8844784778837763,0.4120709653673873,0.6971947324370281,7.600555432980691,5.321814706318452,0.9697197827000626,0.9311902280325212,0.7505267464884758,0.7026360827654623,0.4727715850494453,0.06747895505753632,0.19731415057926682,0.37054702654095545,0.6544730516851173,0.030888859027610627,0.1277507101451182,0.24290739377586792,0.7063481648038449,0.6651823618024527,0.3952273347665847,0.5758450983875408
0.01,0.01,0.5540323722034921,0.01,-396.17520916368545,148.12336982214214,45.233202104472674,-27.093043410310855,-36.78071140068702,-11.656886963983247,-1.0303367943056676,-16.35926449792324,-30.28127206058442,-21.036510825911627,-1.9605027714039656,-0.38837932776280515,-19.816988037248723,-0.06415728188044792,0.019212210358413445,0.0035273077652841407,4.38918865147903e-05,0.009894246847000044,0.018132303775021435,0.013304140552400897,0.000591575770539627,-0.0064546592683843475,-0.0027976608087520315,0.002441373139209988,-0.0006439204363196054,-0.009606394379171225,694.5610259040658,733.8704311959042,-0.1615645489890635,0.6969535776737252,0.7744937971436292,0.9096776341533396,0.3402419411511234,2.8772468180577238,2.498968666204062,0.9242032712391677,0.0029608237365903456,0.7122458050247213,0.20243898447868158,0.5769770205289758,0.7673574885780062,0.14953783912342966,0.1236936948080007,0.6838028902193757,0.6937701590820015,0.3285037005271034,0.3819062260900251,0.7632067373324901,0.8551367313492806,0.8027503667466853,0.6755554404879578
0.01,0.01,0.5542559104099813,0.01,-398.9369291505399,149.77397214212337,45.635899595023,-26.791091179690735,-36.33428638133769,-11.6364403390799,-1.6761478204335032,-17.12999981839822,-30.49484494573961,-20.627929247200566,-1.4435251710302588,-0.18514256473837654,-19.853266772831102,-0.03854360417184897,0.048272059536398834,0.01459741413258058,-0.017927229977111877,-0.033853018716971967,-0.0320662839092406,-0.021365328016893972,-0.010239510360407916,-0.0020037210404120977,0.00365217213299154,0.00802314793166514,0.01302738366244081,0.01992463873390504,656.4546577464591,676.1512915114643,-0.16177003213773097,0.6449388145285245,0.8482787181951749,0.48106905841700276,0.45899603023757307,2.547575469449226,8.29692471811418,0.47968648238333056,0.2752435853604174,0.8578196850021079,0.2410888121662762,0.14973670279829687,0.2442995582413121,0.9501926757698901,0.17924527975756827,0.38210407511090116,0.22067068284097568,0.3305789878381164,0.21369220288120824,0.17010347861403377,0.8331419768781121,3.9265264193473444,0.95118200678583
0.01,0.01,0.5542083408331392,0.01,-395.87928475755905,147.86339364901784,45.07327920591409,-27.12251447465246,-36.744736582698245,-11.646448360351764,-1.0638530081609756,-16.38373004488436,-30.262052950768908,-21.00922292537556,-1.9841611581185339,-0.46257399318096476,-19.871754636314368,-0.13122724115994472,-0.05401924883188916,-0.03271541749779536,-0.0045496029314023535,0.022823311636192133,0.039124556401369644,0.036203183033176975,0.016451153123355856,-0.006073052233670812,-0.017243266438024586,-0.01753864620892382,-0.020067483823068562,-0.03238924241917939,701.1046242810356,740.8363099124317,-0.16358040483132488,0.9038058547465126,0.18095714048396344,0.7703085990672872,0.23462802749405012,9.43171681260927,8.285641088064189,0.5036040361143215,0.5078135822724136,0.7375053760275475,0.8185062041440992,0.5422264302877481,0.06326899741500824,0.9471874127097509,0.43778203861033044,0.3911158667490172,0.31112237867405423,0.02209175087613734,0.020977522448526853,0.9949096790226851,0.938583848452762,2.578137758524784,0.48950228179952404
0.01,0.01,0.5542430217419523,0.01,-397.7629637751342,149.3101031591857,45.5129377593138,-27.084136342997084,-36.633391037017994,-11.506909044563477,-1.1342360304795183,-16.658546397721178,-30.46554332257815,-20.923310919563146,-1.6842455250970199,-0.20311976767622994,-19.814174037028852,-0.04720519251745406,0.05025727384055811,0.03137204390682611,0.002745547140886669,-0.02402468502244085,-0.036739917697117916,-0.03200650085252022,-0.016921160042399883,-0.0015672763803058793,0.008594238187726682,0.014456427721700126,0.01910552402895809,0.023797959334852615,667.3457792895283,696.0954022525618,-0.1613538597141936,0.16729850393492085,0.28456649039920234,0.2526454580839702,0.11474642064871454,6.75000682875531,9.816440402932553,0.7918217953932,0.4161848175923425,0.635063445340067,0.529129153030789,0.9531003168619097,0.6779450903902701,0.47135414232516126,0.23770693864918188,0.7975596196477741,0.23970735482688532,0.054757162925392386,0.4701282814813832,0.1984702492706441,0.7989492817281418,4.1400558216750785,0.6602566927341988
0.01,0.01,0.5542584716056747,0.01,-398.237357907405,149.6546750914377,45.59910910171723,-27.197723830528677,-36.75681364252478,-11.494885375104666,-1.0148206540783258,-16.567816203067824,-30.479556573521474,-20.992792923904165,-1.7256437295594096,-0.20338786631932165,-19.821219249557895,-0.08544818620816755,-0.009479379133430763,-0.01996064324830628,-0.017108702291950915,-0.0010116801366937878,0.013207712073788045,0.013573907022802945,0.0030718178398929396,-0.006515700712123722,-0.008776717924709274,-0.007384472390519009,-0.008840797980595307,-0.013691537863441473,661.6598825507717,686.3063940548361,-0.15754776689873595,0.12109340394429711,0.6920056857592487,0.67817175897564,0.6604472554219077,6.667877915137907,5.532881379745564,0.739728991804055,0.19773218179976282,0.9844406464721112,0.1707099199361113,0.8629283011951051,0.7662658140920744,0.7985552698892326,0.3360344831950833,0.03097883446104457,0.06348526485391703,0.4103583464028324,0.3998077935147966,0.8578632635438878,0.8572349451611341,4.464216692573203,0.5907524457961915
0.01,0.01,0.5540268173644344,0.01,-396.35284786999915,148.24726861733458,45.31138440475515,-27.07978952584283,-36.80134291823366,-11.659913049484626,-1.0024218427098817,-16.333652456855194,-30.28717475549515,-21.058265303022534,-1.9611943561077152,-0.35996095871842043,-19.791824517471518,-0.06113478681615692,0.024049876700102696,0.009357003886943828,0.00560257233052937,0.013563832840274428,0.019485931572560206,0.01366333387104445,0.001520301780530153,-0.004422458925141687,-3.724275066482204e-05,0.006172853560268554,0.004224292847438069,-0.004369508756063761,691.3003046519162,730.1696045979899,-0.1637329985608613,0.10572931012929651,0.34910504022493216,0.7371950137503807,0.6149128992397208,8.012865486716494,6.288215607146142,0.8942737120517312,0.7228033123365637,0.11433691786785005,0.5184651372523449,0.5229074797615118,0.7332680179120983,0.36144528356658157,0.3660354414240512,0.1271128163134975,0.24818243799926654,0.17291675079252963,0.24631158682918852,0.5849220481422849,0.6242747020807493,3.1156820924997866,0.9231074567817358
